"","Compound.Name","Rownum","sum_rawvol","sum_ISrawnormvol","sum_ISnormnormvol","n_occur","cumsum_raw","cumsum_ISrawnorm","num_pct","cumsum_ISnormnorm.x","pct_occur","raw_cumsum","ISrawnorm_cumsum","cumsum_ISnormnorm.y","AMS1_PMF_1r2","AMS1_PMF_2r2","AMS1_PMF_3r2","AMS1_PMF_4r2","AMS1_PMF_5r2","AMS1_PMF_6r2","AMS2_PMF_1r2","AMS2_PMF_2r2","AMS2_PMF_3r2","AMS2_PMF_4r2","AMS2_PMF_5r2","AMS2_PMF_6r2","Compound.Name_ES","Library.Match.Factor_ES","Library.Reverse.Match.Factor_ES","LRI.I","Library.RI_ES","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Library.Reverse.Match.Factor_NISTmain","Library.RI_NISTmain","Library.Formula_NISTmain","Compound.Name_chamber","Library.Match.Factor_chamber","Library.Reverse.Match.Factor_chamber","Library.RI_chamber","A1","BB1","BB2","BB3","BB4","BB5","ISOP1","ISOP2","ISOP3","MT1","MT2","MT3","SQT1","SQT2","SQT3","SQT4","SQT5","man_cat1","man_cat1_alternate","man_cat1_certainty","man_cat1_notes","LRI_avg","RI2","relative_LRI","relative_LRI2","identifiable","count","pct_count","pct_normvol","ams_max","trac_max"
"1","1202_0046_blob_561",28,201219.673508524,0.36485882840661,3912.99627075888,21,0.00488843009983607,0.00531972624413524,0.0211320754716981,0.00531972624413524,0.388888888888889,0.558484363605355,0.55885744153781,0.002185631,0.162783005,0.438017384,0.025422201,0.325719202,0.376177152,0.221407603,NA,NA,NA,NA,NA,NA,"C7 acid",387,503,1800,NA,"a-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",659,718,NA,"C16H37BO6Si3","myrc_ox_L_blob_714",600,644,1804,0.545158681,0.694571434,NA,0.887309467,0.845370758,0.675442251,0.118324087,0.16314143,0.297973179,0.309825202,0.200480016,0.604988952,NA,0.838003389,0.281210228,"0.80756216",0.606177201,"BB","SQ","L","not great with BB ams but good BB3 and BB4 corr, good SQ corr too",1800.57569554214,0.703863342726353,0.776489038074956,0.832731942823907,FALSE,1,0.00245098039215686,0.0832793086224453,"AMS1_PMF_2r2","BB3"
"2","Blob with BlobID = 7",35,142880.391508525,0.12906308494793,1384.16102551059,7,0.00347113577091181,0.00188176967827516,0.0264150943396226,0.00188176967827516,0.12962962962963,0.585177445705435,0.58388215230055,0.001551955,-0.475282151,-0.546432721,-0.207689201,-0.729697242,-0.63976495,-0.823738065,NA,NA,NA,NA,NA,NA,"mannosan",329,493,1673.170732,NA,"Bis(tert-butyldimethylsilyl) 2,3-bis((tert-butyldimethylsilyl)thio)succinate",608,698,NA,"C28H62O4S2Si4",NA,NA,0,-0.771455103,NA,1,-0.768642901,-0.611423326,-0.825884796,-0.825473151,-0.984475074,-0.447748507,-0.773114315,0,NA,0,-0.848644286,0.018956865,-0.150349255,NA,NA,NA,"not in iop1",NA,NA,1672.98067785873,0.384921990199101,0.721464340813162,0.455396406200913,FALSE,1,0.00245098039215686,0.0294587485523724,"AMS1_PMF_3r2",NA
"3","1202_1412_blob_602",59,99179.0555558387,0.155042402883532,1662.78104586976,16,0.00240945565609387,0.00226055415234232,0.0445283018867925,0.00226055415234232,0.296296296296296,0.653187261604666,0.651607462382441,0.001077275,0.61097632,0.169836581,0.30859412,0.812726635,0.54219543,0.471824965,NA,NA,NA,NA,NA,NA,"C7 acid",401,452,1789.090909,NA,"2-Keto-3-methylvaleric acid eo-tms pk1",569,637,NA,"C11H23NO3Si","myrc_ox_L_blob_562",494,524,1792,-0.39958782,0.828844173,NA,0.54620857,0.63714052,0.523913197,0.545682318,0.344093702,0.388436816,0.285593001,0.122400289,0.138716496,NA,0.867971626,0.619958653,"0.57892811",0.345412069,"NYC",NA,NA,NA,1789.0465631929,0.366271015137399,0.771517158853294,0.433330670203734,FALSE,1,0.00245098039215686,0.0353885478821794,"AMS1_PMF_4r2","BB1"
"4","1221_0832_blob_19",79,81862.1458966777,0.133392411190821,1430.59168889159,10,0.00198875870863362,0.00194489225786111,0.059622641509434,0.00194489225786111,0.185185185185185,0.695901810411544,0.695426009111956,0.00088918,0.766694576,0.704112838,-0.105498744,0.086898595,-0.087168994,-0.424481057,NA,NA,NA,NA,NA,NA,"threitol",542,545,1524.175824,1521,"Triethylene glycol, 2TMS derivative",870,878,1489,"C12H30O4Si2","myrc_ox_L_blob_571",594,603,1525,0.654865252,0.424819812,NA,0,-1,0.635067908,0.805713123,0.855089275,0.711709906,0.793890244,0.612707179,0.675869736,NA,0,0.475180266,"0.63638983",0.425335762,"NYC",NA,NA,NA,1524.11185868064,0.116965559778375,0.657265425716653,0.138380495083688,TRUE,1,0.00245098039215686,0.0304469206020487,"AMS1_PMF_1r2","ISOP2"
"5","1202_1412_blob_1431",100,61408.7422010987,0.100298728549895,1075.67234289372,50,0.00149186378515919,0.00146237869822258,0.0754716981132075,0.00146237869822258,0.925925925925926,0.731931322448664,0.730324374244512,0.000667017,0.704902797,0.399986818,0.516838215,0.437497118,0.725171871,0.109546543,NA,NA,NA,NA,NA,NA,"beta-caryophyllinic acid, TMS",579,676,2051.851852,2060,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",728,788,NA,"C13H26BNO6Si","limonox_S_blob_701",432,560,NA,0.325356169,0.7424714,NA,0.152839078,0.389140111,0.801694362,0.584517969,0.490384078,0.422598756,0.730859828,0.607669573,0.344713056,NA,0.725384497,0.762565046,"0.519242017",0.790019225,"NYC",NA,NA,NA,2054.10250707248,0.137036493491547,0.885821175845555,0.162126166452964,FALSE,1,0.00245098039215686,0.0228932620482927,"AMS1_PMF_5r2","BB1"
"6","1202_0046_blob_1379",130,45992.555445355,0.0747885434838386,802.08362512641,51,0.00111734299378996,0.00109043429007628,0.0981132075471698,0.00109043429007628,0.944444444444444,0.77081538074964,0.76859231001182,0.000499567,0.703015464,0.450841197,0.376932932,0.400578311,0.700018911,0.134640981,NA,NA,NA,NA,NA,NA,"C7 acid",421,535,2029.411765,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",704,752,NA,"C13H26BNO6Si","limonox_S_blob_687",427,580,NA,0.03218429,0.780570344,NA,0.104310308,0.323748301,0.794762949,0.585689788,0.497573148,0.418492417,0.704121561,0.486177737,-0.048145901,NA,0.88478195,0.698765477,"0.570826396",0.865344061,"NYC",NA,NA,NA,2028.96884601725,0.166877360098884,0.874982413362871,0.197430523587439,FALSE,1,0.00245098039215686,0.0170705426573171,"AMS1_PMF_1r2","BB1"
"7","1202_1412_blob_1443",154,40431.8358808151,0.0686737415375404,736.504295946444,42,0.000982250890607054,0.0010012790610978,0.11622641509434,0.0010012790610978,0.777777777777778,0.795767576199891,0.794078801905839,0.000439167,0.810157802,0.499502077,0.511770309,0.227044453,0.618321242,0.182582647,NA,NA,NA,NA,NA,NA,"C12 diacid",454,532,2112.592593,2120,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",710,777,NA,"C13H26BNO6Si","limonox_S_blob_687",449,641,NA,0.462357976,0.548795886,NA,0.307129179,0.342948782,0.716502322,0.675332701,0.643259884,0.58482112,0.766375403,0.67007021,0.353481505,NA,0.626764812,0.725155433,"0.803858325",0.754465731,"NYC",NA,NA,NA,2114.85890652557,0.137023412551342,0.91202206164282,0.16211069055574,FALSE,1,0.00245098039215686,0.0156748344030457,"AMS1_PMF_1r2","MT1"
"8","1202_1412_blob_1251",155,40269.5582699774,0.0642771757263854,689.352509327146,49,0.000978308518852262,0.000937176113029339,0.116981132075472,0.000937176113029339,0.907407407407407,0.796745884718743,0.795015978018868,0.000437405,0.570979375,0.549558906,0.235743804,0.318700445,0.436838192,0.417084938,NA,NA,NA,NA,NA,NA,"FAME18 (Methyl Stearate)",487,624,2161.481481,2161,"Butanoic acid, 1a,2,5,5a,6,9,10,10a-octahydro-5a-hydroxy-4-(hydroxymethyl)-1,1,7,9-tetramethyl-6,11-dioxo-1H-2,8a-methanocyclopenta[a]cyclopropa[e]cyclodecen-5-yl ester, [1aR-(1aa,2a,5<df>,5a<df>,8aa,9a,10aa)]-",631,632,NA,"C24H32O6","apin_ox_S_blob_592",397,518,NA,-0.122555768,0.578549384,NA,0.082352869,0.205769471,0.583065749,0.508234898,0.412304372,0.233691671,0.526939833,0.434351423,-0.220136517,NA,0.742480599,0.393846604,"0.465181161",0.628710787,"NYC",NA,NA,NA,2161.60300604487,0.166602016220377,0.932180214927507,0.19710476767862,FALSE,1,0.00245098039215686,0.0146713148701209,"AMS1_PMF_1r2","BB1"
"9","1202_1412_blob_1098",168,36891.4850044692,0.0627664612646527,673.150571496129,46,0.000896241617825001,0.000915149546193691,0.126792452830189,0.000915149546193692,0.851851851851852,0.808951412990509,0.807171880263245,0.000400712,0.574026361,0.647067412,0.247661202,0.211790123,0.364747678,0.067472335,NA,NA,NA,NA,NA,NA,"beta-caryophyllonic acid, TMS",518,627,1919.463087,1931,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",732,759,NA,"C13H26BNO6Si","limonox_S_blob_847",603,673,1925,0.763928373,0.548020349,NA,0.684843332,0.686711072,0.684222453,0.622526208,0.592867879,0.632562625,0.534465656,0.498610837,0.760946985,NA,0.441244121,0.437824437,"0.218679097",0.460631594,"NYC",NA,NA,NA,1918.49347322585,0.115384059553852,0.827340475197122,0.136509441891114,FALSE,1,0.00245098039215686,0.0143264931305773,"AMS1_PMF_2r2","MT3"
"10","1202_1412_blob_615",171,36383.150286201,0.0545951618410956,585.515953166434,6,0.000883892135817374,0.000796010107572954,0.129056603773585,0.000796010107572954,0.111111111111111,0.811611755274997,0.809930013048283,0.000395191,0.320786091,-0.342695526,0.080257273,0.98475716,0.237082797,0.569551467,NA,NA,NA,NA,NA,NA,"C7 acid",391,429,1791.515152,NA,"<df>-D-Xylofuranose, 1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",615,632,NA,"C12H27BO5Si2","apin_ox_S_blob_590",480,498,1795,-0.826551758,0.840304471,NA,-0.119300577,0.775108231,0.277126364,0.358433786,-0.073100135,-0.329010096,0.030971567,-0.288986179,1,NA,0.169152448,0.499231022,"0.266910844",-0.463443088,"NYC",NA,NA,NA,1791.46341463415,0.395119254848627,0.772559413647372,0.46746066283658,FALSE,1,0.00245098039215686,0.0124613877430698,"AMS1_PMF_4r2","MT3"
