Compound.Name,Rownum,sum_rawvol,sum_ISrawnormvol,sum_ISnormnormvol,n_occur,cumsum_raw,cumsum_ISrawnorm,num_pct,cumsum_ISnormnorm.x,pct_occur,raw_cumsum,ISrawnorm_cumsum,cumsum_ISnormnorm.y,AMS1_PMF_1r2,AMS1_PMF_2r2,AMS1_PMF_3r2,AMS1_PMF_4r2,AMS1_PMF_5r2,AMS1_PMF_6r2,AMS2_PMF_1r2,AMS2_PMF_2r2,AMS2_PMF_3r2,AMS2_PMF_4r2,AMS2_PMF_5r2,AMS2_PMF_6r2,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,A1,BB1,BB2,BB3,BB4,BB5,ISOP1,ISOP2,ISOP3,MT1,MT2,MT3,SQT1,SQT2,SQT3,SQT4,SQT5,man_cat1,man_cat1_alternate,man_cat1_certainty,man_cat1_notes,LRI_avg,RI2,relative_LRI,relative_LRI2,identifiable,count,pct_count,pct_normvol
1202_0046_blob_561,28,201219.6735,0.364858828,3912.996271,21,0.00488843,0.005319726,0.021132075,0.005319726,0.388888889,0.558484364,0.558857442,0.002185631,0.162783005,0.438017384,0.025422201,0.325719202,0.376177152,0.221407603,NA,NA,NA,NA,NA,NA,C7 acid,387,503,1800,NA,"a-D-Galactopyranose, 1,2,3-tris-O-(trimethylsilyl)-, cyclic methylboronate",659,718,NA,C16H37BO6Si3,myrc_ox_L_blob_714,600,644,1804,0.545158681,0.694571434,NA,0.887309467,0.845370758,0.675442251,0.118324087,0.16314143,0.297973179,0.309825202,0.200480016,0.604988952,NA,0.838003389,0.281210228,0.80756216,0.606177201,BB,SQ,L,"not great with BB ams but good BB3 and BB4 corr, good SQ corr too",1800.575696,0.703863343,0.776489038,0.832731943,FALSE,1,0.00245098,0.083279309
Blob with BlobID = 7,35,142880.3915,0.129063085,1384.161026,7,0.003471136,0.00188177,0.026415094,0.00188177,0.12962963,0.585177446,0.583882152,0.001551955,-0.475282151,-0.546432721,-0.207689201,-0.729697242,-0.63976495,-0.823738065,NA,NA,NA,NA,NA,NA,mannosan,329,493,1673.170732,NA,"Bis(tert-butyldimethylsilyl) 2,3-bis((tert-butyldimethylsilyl)thio)succinate",608,698,NA,C28H62O4S2Si4,NA,NA,0,-0.771455103,NA,1,-0.768642901,-0.611423326,-0.825884796,-0.825473151,-0.984475074,-0.447748507,-0.773114315,0,NA,0,-0.848644286,0.018956865,-0.150349255,NA,NA,NA,not in iop1,NA,NA,1672.980678,0.38492199,0.721464341,0.455396406,FALSE,1,0.00245098,0.029458749
1202_1412_blob_602,59,99179.05556,0.155042403,1662.781046,16,0.002409456,0.002260554,0.044528302,0.002260554,0.296296296,0.653187262,0.651607462,0.001077275,0.61097632,0.169836581,0.30859412,0.812726635,0.54219543,0.471824965,NA,NA,NA,NA,NA,NA,C7 acid,401,452,1789.090909,NA,2-Keto-3-methylvaleric acid eo-tms pk1,569,637,NA,C11H23NO3Si,myrc_ox_L_blob_562,494,524,1792,-0.39958782,0.828844173,NA,0.54620857,0.63714052,0.523913197,0.545682318,0.344093702,0.388436816,0.285593001,0.122400289,0.138716496,NA,0.867971626,0.619958653,0.57892811,0.345412069,NYC,NA,NA,NA,1789.046563,0.366271015,0.771517159,0.43333067,FALSE,1,0.00245098,0.035388548
1221_0832_blob_19,79,81862.1459,0.133392411,1430.591689,10,0.001988759,0.001944892,0.059622642,0.001944892,0.185185185,0.69590181,0.695426009,0.00088918,0.766694576,0.704112838,-0.105498744,0.086898595,-0.087168994,-0.424481057,NA,NA,NA,NA,NA,NA,threitol,542,545,1524.175824,1521,"Triethylene glycol, 2TMS derivative",870,878,1489,C12H30O4Si2,myrc_ox_L_blob_571,594,603,1525,0.654865252,0.424819812,NA,0,-1,0.635067908,0.805713123,0.855089275,0.711709906,0.793890244,0.612707179,0.675869736,NA,0,0.475180266,0.63638983,0.425335762,NYC,NA,NA,NA,1524.111859,0.11696556,0.657265426,0.138380495,TRUE,1,0.00245098,0.030446921
1202_1412_blob_1431,100,61408.7422,0.100298729,1075.672343,50,0.001491864,0.001462379,0.075471698,0.001462379,0.925925926,0.731931322,0.730324374,0.000667017,0.704902797,0.399986818,0.516838215,0.437497118,0.725171871,0.109546543,NA,NA,NA,NA,NA,NA,"beta-caryophyllinic acid, TMS",579,676,2051.851852,2060,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",728,788,NA,C13H26BNO6Si,limonox_S_blob_701,432,560,NA,0.325356169,0.7424714,NA,0.152839078,0.389140111,0.801694362,0.584517969,0.490384078,0.422598756,0.730859828,0.607669573,0.344713056,NA,0.725384497,0.762565046,0.519242017,0.790019225,NYC,NA,NA,NA,2054.102507,0.137036493,0.885821176,0.162126166,FALSE,1,0.00245098,0.022893262
1202_0046_blob_1379,130,45992.55545,0.074788543,802.0836251,51,0.001117343,0.001090434,0.098113208,0.001090434,0.944444444,0.770815381,0.76859231,0.000499567,0.703015464,0.450841197,0.376932932,0.400578311,0.700018911,0.134640981,NA,NA,NA,NA,NA,NA,C7 acid,421,535,2029.411765,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",704,752,NA,C13H26BNO6Si,limonox_S_blob_687,427,580,NA,0.03218429,0.780570344,NA,0.104310308,0.323748301,0.794762949,0.585689788,0.497573148,0.418492417,0.704121561,0.486177737,-0.048145901,NA,0.88478195,0.698765477,0.570826396,0.865344061,NYC,NA,NA,NA,2028.968846,0.16687736,0.874982413,0.197430524,FALSE,1,0.00245098,0.017070543
1202_1412_blob_1443,154,40431.83588,0.068673742,736.5042959,42,0.000982251,0.001001279,0.116226415,0.001001279,0.777777778,0.795767576,0.794078802,0.000439167,0.810157802,0.499502077,0.511770309,0.227044453,0.618321242,0.182582647,NA,NA,NA,NA,NA,NA,C12 diacid,454,532,2112.592593,2120,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",710,777,NA,C13H26BNO6Si,limonox_S_blob_687,449,641,NA,0.462357976,0.548795886,NA,0.307129179,0.342948782,0.716502322,0.675332701,0.643259884,0.58482112,0.766375403,0.67007021,0.353481505,NA,0.626764812,0.725155433,0.803858325,0.754465731,NYC,NA,NA,NA,2114.858907,0.137023413,0.912022062,0.162110691,FALSE,1,0.00245098,0.015674834
1202_1412_blob_1251,155,40269.55827,0.064277176,689.3525093,49,0.000978309,0.000937176,0.116981132,0.000937176,0.907407407,0.796745885,0.795015978,0.000437405,0.570979375,0.549558906,0.235743804,0.318700445,0.436838192,0.417084938,NA,NA,NA,NA,NA,NA,FAME18 (Methyl Stearate),487,624,2161.481481,2161,"Butanoic acid, 1a,2,5,5a,6,9,10,10a-octahydro-5a-hydroxy-4-(hydroxymethyl)-1,1,7,9-tetramethyl-6,11-dioxo-1H-2,8a-methanocyclopenta[a]cyclopropa[e]cyclodecen-5-yl ester, [1aR-(1aa,2a,5<df>,5a<df>,8aa,9a,10aa)]-",631,632,NA,C24H32O6,apin_ox_S_blob_592,397,518,NA,-0.122555768,0.578549384,NA,0.082352869,0.205769471,0.583065749,0.508234898,0.412304372,0.233691671,0.526939833,0.434351423,-0.220136517,NA,0.742480599,0.393846604,0.465181161,0.628710787,NYC,NA,NA,NA,2161.603006,0.166602016,0.932180215,0.197104768,FALSE,1,0.00245098,0.014671315
1202_1412_blob_1098,168,36891.485,0.062766461,673.1505715,46,0.000896242,0.00091515,0.126792453,0.00091515,0.851851852,0.808951413,0.80717188,0.000400712,0.574026361,0.647067412,0.247661202,0.211790123,0.364747678,0.067472335,NA,NA,NA,NA,NA,NA,"beta-caryophyllonic acid, TMS",518,627,1919.463087,1931,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",732,759,NA,C13H26BNO6Si,limonox_S_blob_847,603,673,1925,0.763928373,0.548020349,NA,0.684843332,0.686711072,0.684222453,0.622526208,0.592867879,0.632562625,0.534465656,0.498610837,0.760946985,NA,0.441244121,0.437824437,0.218679097,0.460631594,NYC,NA,NA,NA,1918.493473,0.11538406,0.827340475,0.136509442,FALSE,1,0.00245098,0.014326493
1202_1412_blob_615,171,36383.15029,0.054595162,585.5159532,6,0.000883892,0.00079601,0.129056604,0.00079601,0.111111111,0.811611755,0.809930013,0.000395191,0.320786091,-0.342695526,0.080257273,0.98475716,0.237082797,0.569551467,NA,NA,NA,NA,NA,NA,C7 acid,391,429,1791.515152,NA,"<df>-D-Xylofuranose, 1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",615,632,NA,C12H27BO5Si2,apin_ox_S_blob_590,480,498,1795,-0.826551758,0.840304471,NA,-0.119300577,0.775108231,0.277126364,0.358433786,-0.073100135,-0.329010096,0.030971567,-0.288986179,1,NA,0.169152448,0.499231022,0.266910844,-0.463443088,NYC,NA,NA,NA,1791.463415,0.395119255,0.772559414,0.467460663,FALSE,1,0.00245098,0.012461388
1202_1412_blob_1341,177,34008.02132,0.055737432,597.7664465,46,0.000826191,0.000812665,0.133584906,0.000812665,0.851851852,0.816692994,0.815226432,0.000369392,0.627720238,0.458293181,0.595742447,0.324149185,0.65355723,0.054763544,NA,NA,NA,NA,NA,NA,"beta-nocaryophyllinic acid, TMS",443,567,2142.222222,2127,"<df>-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic butylboronate",702,735,NA,C17H37BO6Si2,limonox_S_blob_905,479,716,2120,0.065119816,0.629716887,NA,-0.066130832,0.224505388,0.764142591,0.489864366,0.440260175,0.245083246,0.759838992,0.567475586,-0.181151675,NA,0.75934128,0.607048553,0.578851196,0.859963897,NYC,NA,NA,NA,2141.821876,0.336110398,0.923649704,0.39764802,FALSE,1,0.00245098,0.012722112
1202_0046_blob_1341,185,32846.1885,0.054227982,581.5780628,41,0.000797965,0.000790657,0.139622642,0.000790657,0.759259259,0.823151121,0.821607731,0.000356773,0.632250429,0.49649623,0.578094124,0.372423807,0.677687075,0.172134806,NA,NA,NA,NA,NA,NA,"beta-caryophyllinic acid, TMS",575,643,2066.176471,2060,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",702,758,NA,C13H26BNO6Si,limonox_S_blob_583,439,559,2078,0.657494296,0.663041834,NA,0.586444661,0.535568724,0.854754305,0.57395352,0.503521448,0.479746182,0.749401573,0.672828538,0.508315198,NA,0.526143711,0.780356395,0.790153589,0.763204816,NYC,NA,NA,NA,2066.174611,0.285440385,0.891027209,0.33770096,FALSE,1,0.00245098,0.012377579
1129_1334_blob_965,197,29913.56838,0.049703894,533.0586437,30,0.00072672,0.000724694,0.148679245,0.000724694,0.555555556,0.832386044,0.831109455,0.000324919,0.593213689,0.695047253,0.490346989,0.251304197,0.482493989,0.156709233,NA,NA,NA,NA,NA,NA,mannosan,497,537,1701.818182,1706,"1,4-Heptadiene, 6-methyl-5,6-bis(trimethylsilyloxy)-",687,729,NA,C14H30O2Si2,myrc_ox_L_blob_871,646,688,1696,0.543820855,0.490275947,NA,0.235090732,0.455302274,0.691431571,0.635160991,0.637964137,0.573006434,0.718171756,0.725484956,0.455525892,NA,0.744799749,0.506269406,0.375342575,0.721311206,NYC,NA,NA,NA,1700.932251,0.584438598,0.733518313,0.691442016,FALSE,1,0.00245098,0.011344952
1129_1334_blob_1233,203,29127.91622,0.044389242,476.0606695,41,0.000707634,0.000647205,0.153207547,0.000647205,0.759259259,0.836681702,0.835480983,0.000316385,0.388993657,0.297681627,0.014347062,0.526959478,0.488158267,0.103714019,NA,NA,NA,NA,NA,NA,"beta-caryophyllinic acid, TMS",537,628,2068.148148,2060,"1-Naphthalenepentanol, decahydro-5-(hydroxymethyl)-5,8a-dimethyl-t,2-bis(methylene)-, (1a,4a<df>,5a,8aa)-",674,755,NA,C20H34O2,bcp_ox_L_blob_758,568,634,2075,-0.230198596,0.661471282,NA,-0.003100269,0.188246285,0.51838516,0.290874077,0.175176582,0.222340933,0.307420925,0.097277934,-0.162112407,NA,0.786871111,0.020422446,0.565168322,0.602424873,NYC,NA,NA,NA,2067.927809,0.22660483,0.891783266,0.268093348,FALSE,1,0.00245098,0.010131879
