"","Compound.Name","Rownum","sum_rawvol","sum_ISrawnormvol","sum_ISnormnormvol","n_occur","cumsum_raw","cumsum_ISrawnorm","num_pct","cumsum_ISnormnorm","raw_cumsum","ISrawnorm_cumsum"
"1","1202_1412_blob_1",1,28740498.1191077,102.556313171687,2914564.32268357,183,0.312176877097974,0.307889433317239,0.000754716981132075,0.460258859739558,0.312176877097974,0.307889433317239
"2","1202_1412_blob_6",2,3884914.32111045,14.5331599777173,100783.16688649,180,0.0421976131217836,0.0436307259052626,0.00150943396226415,0.0159153617269999,0.354374490219758,0.351520159222502
"3","1202_1412_blob_5",3,3650106.24865845,6.50374713278152,139508.875950476,183,0.0396471475567235,0.0195252243106525,0.00226415094339623,0.0220308042848038,0.394021637776481,0.371045383533154
"4","1221_0832_blob_15",4,2737492.00561331,9.81512035036604,68154.3480177966,182,0.0297344082851813,0.0294664633424925,0.0030188679245283,0.0107627209531206,0.423756046061663,0.400511846875647
"5","1221_0832_blob_25",5,2046132.67904544,4.24040808489189,177405.209286486,80,0.0222249213366225,0.012730341038153,0.00377358490566038,0.0280152744280061,0.445980967398285,0.4132421879138
"6","1221_0832_blob_29",6,1802623.09394598,2.12953773943737,89706.5204167977,178,0.0195799406718917,0.00639319167729263,0.00452830188679245,0.0141661724453632,0.465560908070177,0.419635379591092
"7","1221_0832_blob_4",7,1500243.81109184,2.8702844974203,85870.3789741363,144,0.0162955222937087,0.00861702454036702,0.00528301886792453,0.0135603810162781,0.481856430363886,0.428252404131459
"8","1221_0832_blob_5",8,1169368.63284641,1.81280772403924,52319.4478748898,101,0.012701583892717,0.0054423206685792,0.0060377358490566,0.00826212317006889,0.494558014256603,0.433694724800039
"9","1129_1334_blob_627",9,1071771.61100599,8.48268172624845,116485.945727939,57,0.011641493237157,0.0254662827566052,0.00679245283018868,0.0183950953283682,0.50619950749376,0.459161007556644
"10","1221_0832_blob_45",10,873486.277268619,1.22167967388567,49401.8998393627,173,0.00948773459303282,0.00366766560590138,0.00754716981132075,0.00780139313175198,0.515687242086792,0.462828673162545
"11","1221_0832_blob_22",11,862598.464728423,7.67295302895999,51428.4305347721,160,0.0093694720875209,0.0230353557659723,0.00830188679245283,0.00812141650534407,0.525056714174313,0.485864028928518
"12","1221_0832_blob_684",12,791959.532453834,2.17471523493659,61126.9755261436,178,0.00860219793703024,0.00652882129440513,0.00905660377358491,0.00965298032231668,0.533658912111344,0.492392850222923
"13","1221_0832_blob_48",13,751474.570702566,3.14646124389183,45442.0107258812,181,0.00816245368219636,0.00944614855367048,0.00981132075471698,0.00717605985847978,0.54182136579354,0.501838998776593
"14","1202_1412_blob_41",14,695255.13132954,0.851096461569015,15330.3370059411,131,0.00755180285273137,0.00255511922325162,0.0105660377358491,0.00242091875443013,0.549373168646271,0.504394117999845
"15","Blob with BlobID = 584",15,678941.705833826,1.37715861451789,41003.3881141912,181,0.00737460779491026,0.00413443670407727,0.0113207547169811,0.00647512649215433,0.556747776441182,0.508528554703922
"16","1221_0832_blob_33",16,652520.20262558,3.04044606939476,42469.6724661033,152,0.0070876196457974,0.00912787509990187,0.0120754716981132,0.0067066775197342,0.563835396086979,0.517656429803824
"17","1128_1901_fb_add_blob_43",17,633649.813486711,0.616797931818499,21445.9807722597,152,0.00688265106360434,0.00185171989734973,0.0128301886792453,0.00338668204349264,0.570718047150583,0.519508149701174
"18","1221_0832_blob_42",18,605115.738988318,2.38515666947537,38372.4349945365,164,0.00657271634254024,0.00716059804244545,0.0135849056603774,0.00605965462438455,0.577290763493123,0.526668747743619
"19","Blob with BlobID = 547",19,564824.41541994,2.36846521584908,79799.6109052191,112,0.00613507536938821,0.00711048779531092,0.0143396226415094,0.0126017043566495,0.583425838862512,0.53377923553893
"20","1221_0832_blob_37",20,550699.585955896,0.825620371091881,21979.6255099065,75,0.00598165265787664,0.00247863617878987,0.0150943396226415,0.00347095354731356,0.589407491520388,0.53625787171772
"21","1221_0832_blob_284",21,516701.762317522,3.13258457484338,35971.0591819041,182,0.00561237115247019,0.009404488711994,0.0158490566037736,0.00568043688514088,0.595019862672858,0.545662360429714
"22","1221_0832_blob_730",22,456913.485435296,0.925143553297976,39025.6017813617,158,0.00496295590967196,0.00277741969804593,0.0166037735849057,0.00616280067547156,0.59998281858253,0.54843978012776
"23","1221_0832_blob_224",23,414321.011038343,0.702141288537877,14262.0454405219,86,0.00450032002945818,0.00210793345383485,0.0173584905660377,0.00225221749985754,0.604483138611989,0.550547713581594
"24","1202_1412_blob_601",24,404344.49120788,1.08918457780103,30539.5417578328,177,0.00439195590883393,0.00326989545612502,0.0181132075471698,0.00482270868308944,0.608875094520823,0.553817609037719
"25","1202_1412_blob_754",25,395785.315764874,1.47784983427332,41464.1398435043,165,0.00429898686392531,0.0044367268472362,0.0188679245283019,0.00654788696064226,0.613174081384748,0.558254335884956
"26","1221_0832_blob_35",26,393975.123894639,0.708323992958909,20249.6230771947,96,0.00427932471184095,0.00212649485977553,0.019622641509434,0.00319775698725498,0.617453406096589,0.560380830744731
"27","1221_0832_blob_43",27,392675.794437263,0.453166054372974,16611.4208362301,80,0.0042652115043856,0.00136047246010032,0.020377358490566,0.00262322349629863,0.621718617600974,0.561741303204832
"28","1221_0832_blob_713",28,390738.152744658,0.933368276229392,26261.7356695393,181,0.00424416500303321,0.00280211154981234,0.0211320754716981,0.00414717095792712,0.625962782604008,0.564543414754644
"29","Blob with BlobID = 562",29,384900.74835936,1.65979294734868,45001.4127238996,112,0.00418075960679379,0.00498294736012619,0.0218867924528302,0.00710648200342361,0.630143542210801,0.56952636211477
"30","1221_0832_blob_511",30,379182.118646215,0.581361200290983,23897.3680268614,110,0.00411864433106924,0.00174533351457915,0.0226415094339623,0.00377379743285013,0.634262186541871,0.571271695629349
"31","1221_0832_blob_564",31,369138.364476301,0.654374489903767,27591.7326798673,163,0.00400954991669585,0.00196453036037327,0.0233962264150943,0.00435719991582879,0.638271736458567,0.573236225989722
"32","1221_0832_blob_568",32,350455.318228149,0.535198033450149,15773.3600485327,66,0.00380661623724972,0.00160674476427024,0.0241509433962264,0.00249087956429616,0.642078352695816,0.574842970753993
"33","1213_2145_blob_609",33,348526.8527493,0.896865195858016,25600.5333122676,109,0.00378566940716057,0.00269252382788378,0.0249056603773585,0.0040427559547493,0.645864022102977,0.577535494581876
"34","1221_0832_blob_642",34,346467.012860699,1.11504702872873,25332.8671202408,166,0.00376329559926482,0.0033475384126049,0.0256603773584906,0.00400048694892422,0.649627317702242,0.580883032994481
"35","1128_1901_fb_add_blob_586",35,339869.534597388,2.00133259943622,29002.9286598374,175,0.00369163434438932,0.00600830061907733,0.0264150943396226,0.00458005156043138,0.653318952046631,0.586891333613559
"36","1221_0832_blob_572",36,337259.293226986,5.40428312348353,26765.414430539,164,0.00366328212181798,0.0162244684594866,0.0271698113207547,0.00422671032866893,0.656982234168449,0.603115802073045
"37","1128_1901_fb_add_blob_642",37,333878.788783391,1.17859138250307,17160.65140203,173,0.00362656336642816,0.00353830809288133,0.0279245283018868,0.00270995626523488,0.660608797534877,0.606654110165927
"38","1128_1901_fb_add_blob_619",38,325940.557550833,3.08453643727652,13832.1658700206,160,0.00354033896538988,0.0092602409968617,0.0286792452830189,0.002184332265895,0.664149136500267,0.615914351162788
"39","1202_0046_blob_743",39,311472.585600631,2.25430752456392,33844.7931175702,167,0.00338318906900892,0.00676776928494723,0.0294339622641509,0.00534466361479076,0.667532325569276,0.622682120447736
"40","1221_0832_blob_579",40,308927.278570826,1.07112678123856,15362.3555586006,171,0.00335554215779231,0.00321568324257491,0.030188679245283,0.00242597502387763,0.670887867727068,0.625897803690311
"41","1221_0832_blob_162",41,302178.909085469,0.336024464715196,5845.00083555729,56,0.00328224193513398,0.00100879583930336,0.0309433962264151,0.000923024205989513,0.674170109662202,0.626906599529614
"42","1221_0832_blob_823",42,301846.838771125,0.98347077971121,21333.6122881567,124,0.00327863501526505,0.00295252677953074,0.0316981132075472,0.00336893716479452,0.677448744677467,0.629859126309145
"43","1129_1334_blob_660",43,291602.413614599,1.01399894454316,28626.1474116874,143,0.00316736092948633,0.00304417690890493,0.0324528301886792,0.0045205514470542,0.680616105606954,0.63290330321805
"44","1202_1412_blob_656",44,281048.162839595,0.481460779874707,9446.9512914227,61,0.00305272154385721,0.00144541746963875,0.0332075471698113,0.00149183292870405,0.683668827150811,0.634348720687688
"45","1221_0832_blob_608",45,276639.805961755,0.623454271786561,17702.901608169,120,0.00300483834164011,0.00187170322823743,0.0339622641509434,0.00279558671765916,0.686673665492451,0.636220423915926
"46","1221_2326_blob_600",46,270595.395365311,0.230502710023837,3389.62983633498,16,0.00293918446131849,0.000692003705793509,0.0347169811320755,0.000535279716171872,0.689612849953769,0.636912427621719
"47","1129_1334_blob_594",47,266627.410087297,0.881284276889159,19572.976603301,77,0.00289608453843866,0.00264574757234647,0.0354716981132076,0.0030909030976025,0.692508934492208,0.639558175194066
"48","1221_0832_blob_759",48,261790.275140438,0.748930279890839,16269.891191821,126,0.00284354398484234,0.00224840102318899,0.0362264150943396,0.00256929020565905,0.69535247847705,0.641806576217255
"49","1221_0832_blob_581",49,259963.473030844,0.616165773796655,17698.3583439033,109,0.00282370141373291,0.00184982206415845,0.0369811320754717,0.00279486925961091,0.698176179890783,0.643656398281413
"50","1221_0832_blob_643",50,253174.94975136,3.65861672696873,18182.8935607578,170,0.00274996504393467,0.010983716125848,0.0377358490566038,0.00287138554188249,0.700926144934718,0.654640114407261
"51","1221_0832_blob_663",51,238364.408773854,1.75089856341026,11672.2227923458,173,0.00258909419154622,0.00525646008336793,0.0384905660377358,0.00184324082718638,0.703515239126264,0.659896574490629
"52","1221_0832_blob_100",52,235339.848027204,0.898337702935663,12990.827505637,101,0.00255624166670238,0.00269694451497433,0.0392452830188679,0.0020514707492585,0.706071480792967,0.662593519005603
"53","1221_0832_blob_641",53,230798.888517084,1.93436368836222,15185.4487192154,172,0.00250691814582871,0.00580724990417954,0.04,0.00239803845046189,0.708578398938795,0.668400768909783
"54","1213_2145_blob_732",54,230507.92135961,1.75921858328071,20195.7129532668,159,0.00250375768499807,0.00528143803083773,0.0407547169811321,0.00318924366950991,0.711082156623793,0.673682206940621
"55","1221_0832_blob_912",55,226150.992411262,0.64485775631797,18120.1816345747,136,0.00245643308863247,0.00193595969884942,0.0415094339622641,0.00286148227112177,0.713538589712426,0.67561816663947
"56","1221_0832_blob_661",56,222273.880691015,0.309843517303789,13081.5456309352,165,0.00241432022670605,0.000930196708611989,0.0422641509433962,0.00206579667117503,0.715952909939132,0.676548363348082
"57","1221_0832_blob_688",57,217387.522782745,0.444640703858436,13634.2908109668,95,0.00236124501743635,0.0013348780792419,0.0430188679245283,0.00215308445697131,0.718314154956568,0.677883241427324
"58","1202_1412_blob_573",58,206473.060692737,0.817411448805986,11828.3349102282,174,0.00224269304675226,0.00245399176293106,0.0437735849056604,0.00186789356338056,0.720556848003321,0.680337233190255
"59","1202_0046_blob_561",59,201219.673508524,0.143708804408377,2488.41417149664,21,0.00218563119630841,0.000431435383972134,0.0445283018867925,0.000392962563982208,0.722742479199629,0.680768668574227
"60","1221_0832_blob_747",60,200401.305343565,0.537386417701658,14962.152900923,109,0.00217674215002277,0.00161331462200244,0.0452830188679245,0.00236277627494153,0.724919221349652,0.68238198319623
"61","1128_1901_fb_add_blob_591",61,200282.361809091,0.152983230158137,6459.1915025698,166,0.00217545019533954,0.000459278601031389,0.0460377358490566,0.00102001527043841,0.727094671544991,0.682841261797261
"62","1221_0832_blob_698",62,195293.198031085,0.228073983891678,9583.63517920031,66,0.00212125831734587,0.000684712305689633,0.0467924528301887,0.00151341761971384,0.729215929862337,0.683525974102951
"63","1202_1412_blob_642",63,193493.718496719,0.318765954137619,9006.26878992992,150,0.00210171252175416,0.00095698320215508,0.0475471698113208,0.00142224172975,0.731317642384091,0.684482957305106
"64","1128_1901_blob_742",64,179791.499580363,1.20230028752026,8107.01180431413,117,0.00195288017052301,0.00360948578155363,0.0483018867924528,0.00128023388604207,0.733270522554614,0.688092443086659
"65","1128_1901_fb_add_blob_633",65,176704.575978951,0.720617909189063,14367.4773347368,167,0.00191935026558765,0.00216340304011364,0.0490566037735849,0.00226886697402899,0.735189872820202,0.690255846126773
"66","1221_0832_blob_746",66,169377.701782197,0.202161845619891,5274.80589949228,97,0.00183976637333383,0.000606920180350818,0.049811320754717,0.000832980809431048,0.737029639193536,0.690862766307124
"67","1221_0832_blob_618",67,168175.65285985,0.315176799305775,9129.7826885681,48,0.00182670981888087,0.000946208021056144,0.0505660377358491,0.00144174665736706,0.738856349012417,0.69180897432818
"68","1221_0832_blob_797",68,167073.531095723,0.206685933354288,8951.43211089098,100,0.00181473866482914,0.000620502170242451,0.0513207547169811,0.00141358209332684,0.740671087677246,0.692429476498422
"69","1213_2145_blob_863",69,163847.764529356,1.42053812265745,14755.4363520792,140,0.00177970065926772,0.00426466849347781,0.0520754716981132,0.00233013224567112,0.742450788336514,0.6966941449919
"70","1221_0832_blob_860",70,156219.920181347,1.14144289588007,7653.18541485138,175,0.00169684765450481,0.00342678276458875,0.0528301886792453,0.00120856704551013,0.744147635991018,0.700120927756489
"71","1221_0832_blob_953",71,155891.143945874,0.686656741833625,5034.42579426748,119,0.00169327651464395,0.00206144652228959,0.0535849056603774,0.000795020736883062,0.745840912505662,0.702182374278779
"72","1221_0832_blob_829",72,152268.416909983,0.230367742989128,4073.99267631148,62,0.00165392675779715,0.000691598514513245,0.0543396226415094,0.000643352150162861,0.747494839263459,0.702873972793292
"73","1221_0832_blob_898",73,151015.57263549,0.312250035054582,6721.99935034648,148,0.0016403184684947,0.000937421435824239,0.0550943396226415,0.00106151706177199,0.749135157731954,0.703811394229116
"74","1202_1412_blob_738",74,149594.764528937,0.0841600244235671,2227.82406306457,61,0.00162488577015311,0.000252661015459462,0.0558490566037736,0.000351810991092603,0.750760043502107,0.704064055244576
"75","1221_0832_blob_653",75,144253.348033291,0.271197336503677,7651.69452386299,65,0.00156686775272071,0.000814175077778765,0.0566037735849057,0.00120833160867967,0.752326911254828,0.704878230322354
"76","Blob with BlobID = 7",76,142880.391508525,0.125615676117307,2033.97614240544,7,0.00155195481424217,0.000377117099273775,0.0573584905660377,0.00032119913523783,0.75387886606907,0.705255347421628
"77","1221_0832_blob_687",77,140303.67959042,0.573651219360777,6923.38544703151,52,0.00152396678576606,0.00172218699550027,0.0581132075471698,0.00109331932275016,0.755402832854836,0.706977534417129
"78","1221_0832_blob_864",78,138634.675178637,0.524780047752027,11924.6452169741,95,0.00150583819999925,0.00157546840873733,0.0588679245283019,0.00188310258505801,0.756908671054836,0.708553002825866
"79","1221_0832_blob_996",79,136936.057248126,0.441002838275449,18898.2830774941,89,0.00148738795467879,0.00132395666116249,0.059622641509434,0.00298435761138876,0.758396059009514,0.709876959487028
"80","1221_0832_blob_565",80,135932.589418074,0.431327534373425,2940.43619170311,57,0.00147648837137458,0.00129490994776729,0.060377358490566,0.000464344464178475,0.759872547380889,0.711171869434796
"81","1221_0832_blob_583",81,133802.424371034,0.227581570464336,6413.50440105318,51,0.00145335069751339,0.000683234006729642,0.0611320754716981,0.00101280050661069,0.761325898078402,0.711855103441525
"82","1221_0832_blob_967",82,130658.035878306,0.551418402072217,8730.54338853667,174,0.00141919661375413,0.00165544074356977,0.0618867924528302,0.00137870003884999,0.762745094692156,0.713510544185095
"83","1221_0832_blob_638",83,130256.177481498,0.686733603871022,9787.69558179102,172,0.0014148316615939,0.00206167727365346,0.0626415094339623,0.00154564219869583,0.76415992635375,0.715572221458749
