"","Compound.Name","IS_index1","IS_index2","IS_index3","IS_appropriate1","IS_appropriate2","IS_appropriate3","AMS1_PMF_1r2","AMS1_PMF_2r2","AMS1_PMF_3r2","AMS1_PMF_4r2","AMS1_PMF_5r2","AMS1_PMF_6r2","AMS2_PMF_1r2","AMS2_PMF_2r2","AMS2_PMF_3r2","AMS2_PMF_4r2","AMS2_PMF_5r2","AMS2_PMF_6r2","cumsum_ISnormnorm","cumsum_ISrawnorm1","cumsum_ISrawnorm2","BlobID","Library.Name","Compound.Name_ES","Library.Match.Factor_ES","Library.Reverse.Match.Factor_ES","LRI.I","Library.RI_ES","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Library.Reverse.Match.Factor_NISTmain","Library.RI_NISTmain","Library.Formula_NISTmain","Library.Molecular.Weight_NISTmain","Compound.Name_chamber","Library.Match.Factor_chamber","Library.Reverse.Match.Factor_chamber","Library.RI_chamber"
"1","1128_1901_blob_1004",1,7,25,"4-methoxy-benzaldehyde","d-C6diacid","methoxyphenol-d3",0.570424860646701,0.069224365339501,0.438626739836196,0.338970289502272,0.477534429799654,0.0164871859956721,0.15891408214181,0.278248392429405,-0.0558325493701277,-0.146784553279469,0.10166107128425,0.00267519272965836,0.000469453080418016,0.000866024854109764,0.000413731956347317,1004,"amz_lib_1128_1901","2-Ketoglutaric acid, tri-TMS",487,500,1631.515152,1629,"2-propenoic acid, 2-methyl-, 2,3-bis[(trimethylsilyl)oxy]propyl ester",608,738,NA,"C13H28O4Si2",304,"limonox_L_blob_667",828,833,1630
"2","1128_1901_blob_1006",25,11,4,"methoxyphenol-d3","dC14","d-C10 acid, TMS",0.546419336489774,0.838726784172082,0.0862530094809921,0.273226628848119,0.202041688887035,0.0708104470253945,0.0332192806263394,-0.350153785214339,0.424026648880788,0.313371658036933,-0.239868479781084,-0.304013954207707,9.83633130339367e-05,0.000359453105588906,6.1678360423425e-05,1006,"amz_lib_1128_1901","threitol",527,581,1525,1521,"Malic acid, 2TMS derivative",664,706,NA,"C10H22O5Si2",278,"myrc_ox_L_blob_846",628,686,1529
"3","1128_1901_blob_1019",11,26,12,"dC14","pentaerythritol-C13","dC16",0.329565438885129,0.589090593179524,-0.152769905010629,-0.0119878399827527,0.0305910680087616,0.0384644605107529,-0.0870350341523228,0.756603938522535,0.300471754185506,0.0835845248745434,-0.158308717389203,-0.291280124567604,3.34236518678065e-05,0.000115056596107049,2.19536489176043e-05,1019,"amz_lib_1128_1901","C7 acid",527,554,1560.869565,NA,"Tripropylene glycol monomethyl ether, TMS derivative",792,848,NA,"C13H30O4Si",278,"myrc_ox_L_blob_584",558,568,1567
"4","1128_1901_blob_1027",11,26,12,"dC14","pentaerythritol-C13","dC16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6530473464191e-06,1.34179198090439e-05,NA,1027,"amz_lib_1128_1901","C27",77,528,2775.700935,2750,"Phthalic acid, hexyl octyl ester",860,880,NA,"C22H34O4",362,"limonox_S_blob_633",270,274,NA
"5","1128_1901_blob_1028",11,26,12,"dC14","pentaerythritol-C13","dC16",0.163935193828385,0.214348464183894,0.213944437037106,0.569534905366501,0.482233697046875,0.487227540153326,-0.141507944058228,-0.418217060872483,0.0407710148176056,0.687541370694487,0.857079863306733,0.70126796654166,0.000926151489847136,0.000367435647072529,0.0010046549963012,1028,"amz_lib_1128_1901","monostearin TMS",458,493,2792.523364,2788,"1-Tetracosanol, TMS derivative",724,745,NA,"C27H58OSi",426,"apin_ox_S_blob_751",393,490,NA
"6","1128_1901_blob_1030",11,26,25,"dC14","pentaerythritol-C13","methoxyphenol-d3",0.389720012978885,0.142180609175327,0.55753589030254,0.0410345149812683,0.424054790088299,-0.0718583969247148,0.128511990484674,0.0783403343788877,0.345619891149992,0.306331071470137,0.582034976843573,0.673614557093643,6.61847278462184e-05,0.0003062270786815,3.24570888652569e-05,1030,"amz_lib_1128_1901","C7 acid",376,520,1967.785235,NA,"ﬂ-N-Acetylneuraminic acid, methyl ester-2-methyl-7,9-methyl-boronate-3,8-di(trimethylsilyl)-",589,593,NA,"C20H40BNO9Si2",505,"bcp_ox_L_blob_678",511,533,1959
"7","1128_1901_blob_1034",11,26,12,"dC14","pentaerythritol-C13","dC16",0.61306011791595,0.570580125950035,0.476400715141772,0.0125693651566384,0.419623884155398,0.0774959767566718,NA,NA,NA,NA,NA,NA,6.16296878270268e-05,0.000484979371562053,2.14607901369204e-06,1034,"amz_lib_1128_1901","C7 acid",484,564,1733.333333,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",699,711,NA,"C13H26BNO6Si",331,"limonox_S_blob_593",598,616,1732
"8","1128_1901_blob_1043",25,7,4,"methoxyphenol-d3","d-C6diacid","d-C10 acid, TMS",0.412332127724039,0.637890837470419,0.377374711042815,0.00108155604077535,0.322955602072787,0.116247662175649,NA,NA,NA,NA,NA,NA,3.2215333749678e-05,0.000261494485207064,NA,1043,"amz_lib_1128_1901","ketopinic acid",532,539,1526.086957,1530,"a-D-Galactopyranose, 6-O-(trimethylsilyl)-, cyclic 1,2:3,4-bis(methylboronate)",594,607,NA,"C11H22B2O6Si",300,"limonox_L_blob_615",770,782,1524
"9","1128_1901_blob_1045",11,26,12,"dC14","pentaerythritol-C13","dC16",0.523769366089149,0.679924216146339,0.1349453694242,0.508542911300283,0.282686071782316,-0.24632696072083,NA,NA,NA,NA,NA,NA,1.07284064527687e-05,5.47217662393432e-05,4.54702991117947e-06,1045,"amz_lib_1128_1901","C7 acid",484,510,2135.294118,NA,"a-D-Mannofuranoside, 1-O-decyl-",650,680,NA,"C16H32O6",320,"apin_ox_S_blob_751",501,556,NA
"10","1128_1901_blob_1050",11,26,12,"dC14","pentaerythritol-C13","dC16",0.0721444679075957,0.387332115248893,-0.304631704271056,-0.218278912633156,-0.216757186698554,-0.167159910538239,NA,NA,NA,NA,NA,NA,1.45798531517317e-05,0.000118345854304389,NA,1050,"amz_lib_1128_1901","C7 acid",347,420,2734.579439,NA,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",557,654,NA,"C16H50O7Si8",578,"limonox_L_blob_543",447,526,NA
