Compound.Name,IS_index1,IS_index2,IS_index3,IS_appropriate1,IS_appropriate2,IS_appropriate3,AMS1_PMF_1r2,AMS1_PMF_2r2,AMS1_PMF_3r2,AMS1_PMF_4r2,AMS1_PMF_5r2,AMS1_PMF_6r2,AMS2_PMF_1r2,AMS2_PMF_2r2,AMS2_PMF_3r2,AMS2_PMF_4r2,AMS2_PMF_5r2,AMS2_PMF_6r2,cumsum_ISnormnorm,cumsum_ISrawnorm1,cumsum_ISrawnorm2,BlobID,Library.Name,Library.Match.Factor,Library.Reverse.Match.Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber
1202_1412_blob_1,11,26,25,dC14,pentaerythritol-C13,methoxyphenol-d3,0.52256062,0.421641938,0.317884343,0.688232953,0.707391512,0.250675701,0.123956356,-0.282772693,0.159948701,0.771230661,0.942298127,0.763732608,0.312176877,0.118457396,0.468829057,1,amz_lib_1202_1412,999,999,levoglucosan,940,940,1727.272727,1726,"Levoglucosan, 3TMS derivative",827,907,1694,C15H34O5Si3,378,apin_ox_L_blob_553,545,564,1726
1202_1412_blob_6,25,4,11,methoxyphenol-d3,"d-C10 acid, TMS",dC14,0.346978001,0.109650884,0.019810094,0.215922464,0.369289653,0.043211641,-0.1787771,-0.222806083,-0.003952536,0.151941169,0.095336527,0.007965301,0.042197613,0.083871601,0.008497745,6,amz_lib_1202_1412,999,999,anthraquinone,21,213,1993.288591,2017,"Phthalic acid, butyl 3-methylbutyl ester",881,891,NA,C17H24O4,292,limonox_S_blob_633,226,232,NA
1202_1412_blob_5,25,4,11,methoxyphenol-d3,"d-C10 acid, TMS",dC14,0.419111379,0.173221908,0.027807957,0.215081319,0.332157957,0.075481035,0.076762555,-0.141840974,-0.099136566,0.059562294,-0.032341915,-0.007743485,0.039647148,0.067426658,0.017183114,5,amz_lib_1202_1412,999,999,xanthone,86,191,1892.61745,1906,"Phthalic acid, butyl isohexyl ester",886,887,NA,C18H26O4,306,bcp_ox_L_blob_650,353,391,1878
1221_0832_blob_15,25,4,11,methoxyphenol-d3,"d-C10 acid, TMS",dC14,0.43958318,0.140707845,0.083531998,0.237238935,0.389965333,0.01042484,-0.098136578,-0.19933356,-0.021570074,0.062969991,0.058368313,-0.000619061,0.029734408,0.05869016,0.006319202,15,amz_lib_1221_0832,999,999,C14,0,477,2100.740741,1422,"Phthalic acid, 2-methylbutyl pentyl ester",865,866,NA,C18H26O4,306,limonox_S_blob_633,257,261,NA
1221_0832_blob_29,11,26,12,dC14,pentaerythritol-C13,dC16,0.844479472,0.478679835,0.546517412,0.371284389,0.628796974,0.046499185,0.323685069,0.393644352,0.027266512,-0.179943789,-0.114036338,-0.172833981,0.019579941,0.021224673,0.01824992,29,amz_lib_1221_0832,999,999,C7 acid,376,481,1845.637584,NA,"trans-1,4-Cyclohexanedicarboxylic acid, mono-O-(tert-butyldimethylsilyl)",596,666,NA,C14H26O4Si,286,limonox_L_blob_600,852,854,1843
1221_0832_blob_5,11,25,26,dC14,methoxyphenol-d3,pentaerythritol-C13,0.54942343,0.504277262,0.178344016,0.055614899,0.183585557,-0.206479463,0.351287755,0.255571643,0.081468022,-0.103900346,-0.181522959,-0.243855278,0.012701584,0.020097037,0.006721215,5,amz_lib_1221_0832,999,999,MBTCA,922,922,1776.829268,1776,"Pentanedioic acid, 2,2,3-trimethyl-, bis(trimethylsilyl) ester",611,712,NA,C14H30O4Si2,318,myrc_ox_L_blob_628,541,603,1764
1221_0832_blob_4,11,26,25,dC14,pentaerythritol-C13,methoxyphenol-d3,0.674938477,0.4522035,0.372564125,0.579714863,0.72618492,0.176240688,0.216878688,0.154561679,0.018167351,-0.226619671,-0.3030227,-0.334358448,0.016295522,0.018735165,0.014322693,4,amz_lib_1221_0832,999,999,C18,182,576,1873.825503,1830,6-Methyl-2-tridecanone,776,796,NA,C14H28O,212,bcp_ox_L_blob_598,460,520,1856
1202_1412_blob_41,25,4,11,methoxyphenol-d3,"d-C10 acid, TMS",dC14,0.455503663,0.149476049,0.168875672,0.372926229,0.492286719,-0.032207615,-0.200737107,-0.176602014,0.124702382,0.395770599,0.368797831,0.234558135,0.007551803,0.015327727,0.001263765,41,amz_lib_1202_1412,999,999,C19,119,308,1950.33557,1934,"Phthalic acid, 2-methylbutyl propyl ester",898,911,NA,C16H22O4,278,limonox_S_blob_757,264,320,1967
1221_0832_blob_25,11,26,12,dC14,pentaerythritol-C13,dC16,0.662575476,0.235995106,0.356887572,0.136118876,0.567275148,-0.110639296,-0.123515334,0.193403673,0.503717646,0.719452279,0.420642093,0.541007602,0.022224921,0.013341165,0.029408813,25,amz_lib_1221_0832,999,999,C7 acid,334,457,1869.798658,NA,"Disiloxanamine, 1,1,3,3,3-pentamethyl-N-(trimethylsilyl)-",524,651,NA,C8H25NOSi3,235,limonox_S_blob_632,378,421,1862
1128_1901_fb_add_blob_43,11,26,12,dC14,pentaerythritol-C13,dC16,0.462180042,0.583975223,0.269383672,0.407277537,0.548620811,0.29899893,0.581735514,0.015956001,-0.047053052,0.024218457,0.023013419,0.067113387,0.006882651,0.01218206,0.002597258,43,amz_lib_1128_1901_fb_add,999,999,FAME16 (Methyl Palmitate),952,952,1957.04698,1957,"Hexadecanoic acid, methyl ester",899,904,1926,C17H34O2,270,limonox_S_blob_708,390,411,1948
1221_0832_blob_45,11,26,12,dC14,pentaerythritol-C13,dC16,0.866677177,0.32307142,0.544272479,0.352560376,0.646916354,0.049211949,0.323360313,0.346893046,0.016556883,-0.125737171,-0.023805091,-0.119206721,0.009487735,0.010860126,0.008377944,45,amz_lib_1221_0832,999,999,C7 acid,442,502,1902.013423,NA,Trimethylsilyl (3Z)-7-oxo-3-{2-[(trimethylsilyl)oxy]ethylidene}-4-oxa-1-azabicyclo[3.2.0]heptane-2-carboxylate,663,670,NA,C14H25NO5Si2,343,limonox_S_blob_690,676,685,1898
1221_0832_blob_22,25,4,11,methoxyphenol-d3,"d-C10 acid, TMS",dC14,0.738900579,0.467183673,0.526427639,0.020327911,0.476576633,-0.092761029,0.459581212,0.508479861,0.021547575,-0.146028397,-0.119520551,-0.191816369,0.009369472,0.010372389,0.008558459,22,amz_lib_1221_0832,999,999,C7 acid,460,525,1634.146341,NA,"Hexane-1,3-dicarboxylic acid, bis(trimethylsilyl) ester",618,622,NA,C14H30O4Si2,318,limonox_L_blob_559,885,885,1632
1221_0832_blob_37,11,25,26,dC14,methoxyphenol-d3,pentaerythritol-C13,0.815813983,0.307622092,0.079592358,0.056987645,0.209996225,-0.188087893,0.476170771,0.263995681,-0.1021538,-0.214227164,-0.195815461,-0.317634613,0.005981653,0.010057943,0.002685341,37,amz_lib_1221_0832,999,999,C7 acid,423,526,1851.006711,NA,"ﬂ-D-Xylofuranose, 1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",624,664,NA,C12H27BO5Si2,318,limonox_S_blob_823,587,621,1843
