BlobID,Compound Name,Library Formula,Volume,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio,Library Molecular Weight
2,"1-Acetoxy-3-allyl-4-(1,3-diacetoxypropyloxy)benzene",C18H22O7,307254.8098,,anthro,,FALSE,1966.592368,,148349,mainlib,280764,680,776,43.02999878,,0,49.39312295,1.835796285,9360.917707,,,0,0,0,350
5,"Benzenesulfonamide, N-butyl-",C10H15NO2S,257479.6594,plasticizer,anthro,,FALSE,1827.44782,1796,47406,mainlib,125067,886,886,86.75,,0,45.27623742,1.732078981,7943.39946,,,0,0,0,213
1,"Silane, dimethyldi(2,3,6-trichlorophenoxy)-",C14H10Cl6O2Si,150717.8797,,,,FALSE,2201.666667,2672,210739,mainlib,347515,525,577,13.11999989,,0,55.60803669,0.528958252,10032.20139,,,0,0,0,448
3,"Diacetin, 2-timethylsilyl ether",C10H20O5Si,144039.1505,,anthro,,FALSE,1344.573746,,11476,mainlib,385656,889,889,91.87000275,,0,29.71916037,1.047544773,9182.367598,,,0,0,0,248
10,"1,2,3-Propanetriol, 1-acetate",C5H10O4,134754.0427,,anthro,,FALSE,1256.071532,1093,10829,mainlib,76112,911,922,95.84999847,,0,26.19605641,1.566131294,4820.316242,,,0,0,0,134
4,"Diacetin, 1-trimethylsilyl ether",C10H20O5Si,128052.8632,,anthro,,FALSE,1341.0359,,96872,mainlib,385655,889,889,87.31999969,,0,29.60040406,1.016429582,8985.655479,,,0,0,0,248
17,Caprolactam,C6H11NO,125041.1721,plastics/nylon,anthro,,FALSE,1275.804006,1253,1075,mainlib,227792,937,937,91.68000031,,0,27.10652148,1.877283207,2593.569933,,,0,0,0,113
12,"1-Acetoxy-3-allyl-4-(1,3-diacetoxypropyloxy)benzene",C18H22O7,115152.2298,,,,FALSE,1957.226869,,148349,mainlib,280764,725,777,38.50999832,,0,49.11602489,1.835796285,4391.137946,,,0,0,0,350
8,dC24,-,112630.3263,,,,TRUE,2400,2400,16,caice_ssi,0,882,884,21.39999962,,8,60.31870378,0.311151913,5221.767464,,,0,0,1,0
594,"1,8-Diazacyclotetradecane-2,7-dione",C12H22N2O2,108283.9007,,anthro,,FALSE,2301.666667,,198883,mainlib,239706,890,891,95.06999969,,0,57.98316295,2.240293772,453.5821033,,,0,0,0,226
