,BlobID,Compound.Name,Compound,Description,Group.Name,Constellation.Name,Inclusion,LRI.I,Library.RI,Library.ID,Library.Name,Library.NIST.ID,Library.Match.Factor,Library.Reverse.Match.Factor,Library.Probability,Review.Status,Internal.Standard,Retention.I..min.,Retention.II..sec.,Peak.Value,Volume,Quantifier.1.,Quantifier.2.,Quantifier.Response.1.,Quantifier.Response.2.,Volume.Ratio,File_num,Category,Filter_num,Filter_punches,IOP,AMZ_date,T_O_D,Date_num,Internal_load,External_load,r_date,LRI_diff,unique.analyte,comp.n,avgvol,avgdayvol,avgnightvol,max_vol,Day_dom,Day_night_diff,Day_night_diff_pct,n_Volume,bar
13,631,1221_0832_blob_912,Unknown,NA,NA,NA,FALSE,1780.487805,1782,50,tot_amz_1221_0832_t,0,794,814,75.01999664,NA,0,44.64581299,0.657841609,133.5279284,3172.803512,NA,NA,0,0,0,GCxGC_20181202_0046,sample,394,4,1,3/14/2014 6:00,Day,41712.25,12,0,3/14/2014 6:00,1.512195122,805,9,3127.702311,2072.7859,4446.347825,6709.524033,-2373.561925,2373.561925,1.145107136,0.472880564,1.1
26,579,1221_0832_blob_912,Unknown,NA,NA,NA,FALSE,1780.487805,1782,50,tot_amz_1221_0832_t,0,790,805,77.55000305,NA,0,44.64327089,0.657764351,351.250521,6709.524033,NA,NA,0,0,0,GCxGC_20181202_0239,sample,395,4,1,3/14/2014 18:00,Night,41712.75,12,0,3/14/2014 18:00,1.512195122,546,9,3127.702311,2072.7859,4446.347825,6709.524033,-2373.561925,2373.561925,1.145107136,1,1.1
39,820,1221_0832_blob_912,Unknown,NA,NA,NA,FALSE,1780.487805,1782,50,tot_amz_1221_0832_t,0,787,808,69.65000153,NA,0,44.62915221,0.657335268,67.23747949,1899.762037,NA,NA,0,0,0,GCxGC_20181202_0430,sample,396,4,1,3/15/2014 6:00,Day,41713.25,12,0,3/15/2014 6:00,1.512195122,746,9,3127.702311,2072.7859,4446.347825,6709.524033,-2373.561925,2373.561925,1.145107136,0.283144084,1.1
52,610,1221_0832_blob_912,Unknown,NA,NA,NA,FALSE,1780.487805,1782,50,tot_amz_1221_0832_t,0,796,809,79.33000183,NA,0,44.62691382,0.657267241,172.7783088,3736.936253,NA,NA,0,0,0,GCxGC_20181202_0621,sample,397,4,1,3/15/2014 18:00,Night,41713.75,12,0,3/15/2014 18:00,1.512195122,553,9,3127.702311,2072.7859,4446.347825,6709.524033,-2373.561925,2373.561925,1.145107136,0.556959962,1.1
65,705,1221_0832_blob_912,Unknown,NA,NA,NA,FALSE,1781.707317,1782,50,tot_amz_1221_0832_t,0,793,821,71.54000092,NA,0,44.66255936,0.647238041,93.95562143,1837.29299,NA,NA,0,0,0,GCxGC_20181202_0811,sample,398,4,1,3/16/2014 6:00,Day,41714.25,12,0,3/16/2014 6:00,0.292682927,731,9,3127.702311,2072.7859,4446.347825,6709.524033,-2373.561925,2373.561925,1.145107136,0.273833581,1.1
78,586,1221_0832_blob_912,Unknown,NA,NA,NA,FALSE,1780.606061,1782,50,tot_amz_1221_0832_t,0,790,808,72.09999847,NA,0,44.66175395,0.657171115,318.8134142,5066.823465,NA,NA,0,0,0,GCxGC_20181202_1221,sample,399,4,1,3/16/2014 18:00,Night,41714.75,12,0,3/16/2014 18:00,1.393939394,678,9,3127.702311,2072.7859,4446.347825,6709.524033,-2373.561925,2373.561925,1.145107136,0.755168838,1.1
91,758,1221_0832_blob_912,Unknown,NA,NA,NA,FALSE,1781.818182,1782,50,tot_amz_1221_0832_t,0,779,821,68,NA,0,44.6857433,0.656746713,93.51834831,2762.880756,NA,NA,0,0,0,GCxGC_20181202_1412,sample,400,4,1,3/17/2014 6:00,Day,41715.25,12,0,3/17/2014 6:00,0.181818182,784,9,3127.702311,2072.7859,4446.347825,6709.524033,-2373.561925,2373.561925,1.145107136,0.411784911,1.1
104,697,1221_0832_blob_912,Unknown,NA,NA,NA,FALSE,1780.606061,1782,50,tot_amz_1221_0832_t,0,799,818,74.52999878,NA,0,44.65052991,0.656830602,48.86820863,691.1902054,NA,NA,0,0,0,GCxGC_20181202_1602,sample,401,4,1,3/18/2014 6:00,Day,41716.25,12,0,3/18/2014 6:00,1.393939394,396,9,3127.702311,2072.7859,4446.347825,6709.524033,-2373.561925,2373.561925,1.145107136,0.10301628,1.1
117,627,1221_0832_blob_912,Unknown,NA,NA,NA,FALSE,1781.707317,1782,50,tot_amz_1221_0832_t,0,809,829,74.20999908,NA,0,44.65846248,0.648252919,82.45590268,2272.107551,NA,NA,0,0,0,GCxGC_20181202_1753,sample,402,4,1,3/17/2014 18:00,Night,41715.75,12,0,3/17/2014 18:00,0.292682927,375,9,3127.702311,2072.7859,4446.347825,6709.524033,-2373.561925,2373.561925,1.145107136,0.338639155,1.1
12,696,1221_0832_blob_823,Unknown,NA,NA,NA,FALSE,1636.585366,1638,117,tot_amz_1221_0832_t,0,872,879,97.63999939,NA,0,40.15687462,0.269117022,103.3564857,2269.985429,NA,NA,0,0,0,GCxGC_20181202_0046,sample,394,4,1,3/14/2014 6:00,Day,41712.25,12,0,3/14/2014 6:00,1.414634146,805,9,3845.530694,6381.777451,675.222248,12111.63743,5706.555203,5706.555203,0.894195269,0.187421845,1.1
25,1381,1221_0832_blob_823,Unknown,NA,NA,NA,FALSE,1636.585366,1638,117,tot_amz_1221_0832_t,0,806,839,95.54000092,NA,0,40.1548597,0.269085416,11.59452466,353.6308726,NA,NA,0,0,0,GCxGC_20181202_0239,sample,395,4,1,3/14/2014 18:00,Night,41712.75,12,0,3/14/2014 18:00,1.414634146,546,9,3845.530694,6381.777451,675.222248,12111.63743,5706.555203,5706.555203,0.894195269,0.029197611,1.1
