"","BlobID","Compound.Name","Description","Group.Name","Constellation.Name","Inclusion","LRI.I","Library.RI","Library.ID","Library.Name","Library.NIST.ID","Library.Match.Factor","Library.Reverse.Match.Factor","Library.Probability","Review.Status","Internal.Standard","Retention.I..min.","Retention.II..sec.","Peak.Value","Volume","Quantifier.1.","Quantifier.2.","Quantifier.Response.1.","Quantifier.Response.2.","Volume.Ratio","File_num","Category","Filter_num","Filter_punches","IOP","AMZ_date","T_O_D","Date_num","Internal_load","External_load","r_date","LRI_diff","unique.analyte","comp.n","pct_of_samp","avgvol","avgdayvol","avgnightvol","max_vol","Day_dom","Day_night_diff","Day_night_diff_pct","n_Volume","bar"
"1",868,"1128_1901_blob_958",NA,NA,NA,FALSE,2151.47058823529,2151,91,"tot_amz_1128_1901_t",0,852,857,93.5899963378906,NA,0,54.8029870966096,0.388724586856034,51.4576025116257,1135.68062847565,NA,NA,0,0,0,"GCxGC_20181202_0046","sample",394,4,1,"3/14/2014 6:00","Day",41712.25,12,0,2014-03-14 06:00:00,0.470588235294144,1037,9,100,1260.8930028702,864.623157660972,1756.23030938174,2278.78077549432,-891.607151720768,891.607151720768,1.03120896522457,0.498372042053625,1
"2",1840,"1129_1334_blob_1218",NA,NA,NA,FALSE,3562.63736263736,3563,1,"tot_amz_1129_1334_t",0,737,799,84.1100006103516,NA,0,82.4974543290639,0.707678094019959,8.95261817751452,409.850004742262,NA,NA,0,0,0,"GCxGC_20181202_0046","sample",394,4,1,"3/14/2014 6:00","Day",41712.25,12,0,2014-03-14 06:00:00,0.362637362636633,1037,9,100,450.371493378178,330.703585780156,599.956377875706,744.595493450892,-269.252792095551,269.252792095551,0.814181652915442,0.550433098705416,1
"3",1518,"1129_1334_blob_1469",NA,NA,NA,FALSE,1561.74863387978,1563,196,"tot_amz_1129_1334_t",0,775,787,96.6699981689453,NA,0,37.6841543292958,0.757514579514322,13.3847796775517,215.828124427009,NA,NA,0,0,0,"GCxGC_20181202_0046","sample",394,4,1,"3/14/2014 6:00","Day",41712.25,12,0,2014-03-14 06:00:00,1.25136612021879,1037,9,100,255.47956960936,184.476625866794,344.233249287567,446.805593567608,-159.756623420773,159.756623420773,0.865999270477382,0.483047051187714,1
"4",1285,"1129_1334_blob_897",NA,NA,NA,FALSE,1855.40540540541,1855,103,"tot_amz_1129_1334_t",0,795,806,85.0100021362305,NA,0,46.8141984718632,1.83398266619257,17.9494937990094,713.768429163858,NA,NA,0,0,0,"GCxGC_20181202_0046","sample",394,4,1,"3/14/2014 6:00","Day",41712.25,12,0,2014-03-14 06:00:00,0.405405405405418,1037,9,100,744.539734865997,502.771186612952,1046.7504201823,1502.22875282861,-543.979233569352,543.979233569352,1.08196183085592,0.47513964023114,1
"5",1143,"1129_1334_blob_996",NA,NA,NA,FALSE,1872.97297297297,1874,96,"tot_amz_1129_1334_t",0,754,757,64.7600021362305,NA,0,47.3087425295856,1.4950945648309,23.3578059282445,703.373500070852,NA,NA,0,0,0,"GCxGC_20181202_0046","sample",394,4,1,"3/14/2014 6:00","Day",41712.25,12,0,2014-03-14 06:00:00,1.02702702702709,1037,9,100,854.474020671043,338.181278650957,1499.83994819615,2894.9611885839,-1161.65866954519,1161.65866954519,3.43501767507409,0.242964742617125,1
"6",1335,"1202_0046_blob_1253",NA,NA,NA,FALSE,1916.21621621622,1908,53,"tot_amz_1202_0046_t",0,736,744,28.2399997711182,NA,0,48.5260817485946,1.73430969520384,16.4505250870716,959.475244792624,NA,NA,0,0,0,"GCxGC_20181202_0046","sample",394,4,1,"3/14/2014 6:00","Day",41712.25,12,0,2014-03-14 06:00:00,8.21621621621625,1037,9,100,1270.03056184721,920.084078093444,1707.46366653942,3870.74467942961,-787.379588445975,787.379588445975,0.855769170658345,0.24787872212073,1
"7",1263,"1202_0046_blob_1263",NA,NA,NA,FALSE,3479.12087912088,3479,109,"tot_amz_1202_0046_t",0,999,999,98.9800033569336,NA,0,81.0518640064908,1.04656619538163,19.0011087440653,453.254578274456,NA,NA,0,0,0,"GCxGC_20181202_0046","sample",394,4,1,"3/14/2014 6:00","Day",41712.25,12,0,2014-03-14 06:00:00,0.120879120879181,1037,9,100,696.195746472571,309.476720705982,1179.59452868081,1535.46451095733,-870.117807974826,870.117807974826,2.81157757517239,0.295190527061979,1
"8",979,"1202_0046_blob_1338",NA,NA,NA,FALSE,1860.81081081081,1854,79,"tot_amz_1202_0046_t",0,715,744,19.4400005340576,NA,0,46.9663658742393,0.857187550503049,34.8158919397974,999.758701076135,NA,NA,0,0,0,"GCxGC_20181202_0046","sample",394,4,1,"3/14/2014 6:00","Day",41712.25,12,0,2014-03-14 06:00:00,6.81081081081084,1037,9,100,1163.9172769751,808.693364833105,1607.94716715259,2606.51761812265,-799.253802319488,799.253802319488,0.988327389683029,0.383561075561121,1
"9",1,"1202_1412_blob_1",NA,NA,NA,FALSE,1726.82926829268,1727,4,"tot_amz_1202_1412_t",0,973,973,95.75,NA,0,42.9719715618661,0.857187550503049,8525.716444961,163819.103508492,NA,NA,0,0,0,"GCxGC_20181202_0046","sample",394,4,1,"3/14/2014 6:00","Day",41712.25,12,0,2014-03-14 06:00:00,0.170731707316918,1037,9,100,171527.359397361,124480.020742184,230336.532716332,324614.041817232,-105856.511974148,105856.511974148,0.850389575315,0.504658093628395,1
"10",1508,"1202_1412_blob_1342",NA,NA,NA,FALSE,1933.78378378378,1933,59,"tot_amz_1202_1412_t",0,757,769,37.2799987792969,NA,0,49.020625806317,1.54493105032526,13.220101271203,393.930642000475,NA,NA,0,0,0,"GCxGC_20181202_0046","sample",394,4,1,"3/14/2014 6:00","Day",41712.25,12,0,2014-03-14 06:00:00,0.783783783783747,1037,9,100,956.915786990738,692.5116780414,1287.42092317741,2026.48443027235,-594.909245136012,594.909245136012,0.859060235371867,0.194391151550833,1
