BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
372,"cis-Vaccenic Acid, TMS",,,,true,2971.4285714285716,2260.0,1,amze_unnamedsesq_1,0,0,503,12.5,,0,71.85825118267606,1.0268946398023984,28.73967213172,770.7255188067193,,,0.0,0.0,0.0
634,"cis-Vaccenic Acid, TMS",,,,true,2268.852459016394,2260.0,1,amze_unnamedsesq_1,0,325,447,64.11000061035156,,0,57.32254093985499,0.8374674732369074,15.983326652669348,544.2519533884715,,,0.0,0.0,0.0
429,deoxycholic Acid (maybe),,,,true,3386.0465116279065,3347.0,4,amze_unnamedsesq_1,0,452,608,97.19999694824219,,0,78.85974512162652,1.0268946398023984,23.884285828331485,611.1449273749988,,,0.0,0.0,0.0
543,deoxycholic Acid (maybe),,,,true,3323.2558139534895,3347.0,4,amze_unnamedsesq_1,0,509,603,97.2699966430664,,0,77.83235198928054,1.076743894161738,19.01173301410381,703.3927069876612,,,0.0,0.0,0.0
287,"eicosanol, TMS",,,,true,2700.952380952381,2390.0,8,amze_unnamedsesq_1,0,0,491,7.139999866485596,,0,66.68323392345181,1.0667740432898702,42.049515953985974,1140.5736789375298,,,0.0,0.0,0.0
382,"eicosanol, TMS",,,,true,2340.9836065573772,2390.0,8,amze_unnamedsesq_1,0,37,388,27.06999969482422,,0,58.996811229604006,0.8773468767243792,27.890867407084443,918.3334280197689,,,0.0,0.0,0.0
467,ergosterol,,,,true,3253.488372093024,3297.0,9,amze_unnamedsesq_1,0,411,591,84.7699966430664,,0,76.69080406445164,1.0468343415461343,21.92484107412747,901.7466070299197,,,0.0,0.0,0.0
529,ergosterol,,,,true,3288.3720930232566,3297.0,9,amze_unnamedsesq_1,0,586,606,98.52999877929688,,0,77.26157802686609,0.9770453854430586,19.36555211574887,754.1897363695855,,,0.0,0.0,0.0
610,ergosterol,,,,true,3318.604651162791,3297.0,9,amze_unnamedsesq_1,0,557,627,98.0,,0,77.75624879429193,1.6849047973456828,16.185833813564386,919.639897142255,,,0.0,0.0,0.0
729,ergosterol,,,,true,3220.9302325581402,3297.0,9,amze_unnamedsesq_1,0,186,552,83.48999786376953,,0,76.1580816995315,1.0667740432898702,13.597742428413767,532.0831905153518,,,0.0,0.0,0.0
95,farnesol,,,,true,1844.5945945945946,1832.0,10,amze_unnamedsesq_1,0,336,519,69.2300033569336,,0,46.249526069014856,1.3658695694459084,162.52725128596649,4078.2377896423204,,,0.0,0.0,0.0
286,farnesol,,,,true,1852.7027027027025,1832.0,10,amze_unnamedsesq_1,0,343,519,57.099998474121094,,0,46.47783565398063,1.5054474816520598,43.16837673122063,831.5200111824711,,,0.0,0.0,0.0
348,farnesol,,,,true,1848.6486486486485,1832.0,10,amze_unnamedsesq_1,0,368,497,65.9000015258789,,0,46.36368086149774,0.9969850871867946,31.070191938895732,525.1934785637741,,,0.0,0.0,0.0
215,"beta-caryophyllinic acid, TMS",,,,true,2071.6417910447763,2061.0,16,amze_unnamedsesq_1,0,373,508,71.61000061035156,,0,52.4519364605851,0.72779911364636,68.28591432084795,992.6583894884443,,,0.0,0.0,0.0
1224,"beta-caryophyllinic acid, TMS",,,,true,2070.1492537313434,2061.0,16,amze_unnamedsesq_1,0,449,558,90.36000061035156,,0,52.41388486309081,1.3359600168303047,8.389419709856156,441.4676623453488,,,0.0,0.0,0.0
680,"beta-caryophyllonic acid, TMS",,,,true,1917.5675675675675,1932.0,17,amze_unnamedsesq_1,0,318,472,52.619998931884766,,0,48.30431233370684,1.7746334551924943,14.631206979131093,569.9696158279758,,,0.0,0.0,0.0
119,"beta-nocaryophyllinic acid, TMS",,,,true,2885.714285714285,2127.0,18,amze_unnamedsesq_1,0,0,506,11.109999656677246,,0,70.26008408791562,1.0667740432898702,123.01032878831029,5897.55938490478,,,0.0,0.0,0.0
323,"beta-nocaryophyllinic acid, TMS",,,,true,2110.44776119403,2127.0,18,amze_unnamedsesq_1,0,357,441,54.560001373291016,,0,53.4412779954368,0.72779911364636,35.944448286201805,669.7629882868798,,,0.0,0.0,0.0
329,"beta-nocaryophyllinic acid, TMS",,,,true,2137.313432835821,2127.0,18,amze_unnamedsesq_1,0,367,531,79.9000015258789,,0,54.12620675033413,0.8274976223650394,36.435538621095475,833.236049981916,,,0.0,0.0,0.0
341,"beta-nocaryophyllinic acid, TMS",,,,true,3044.4444444444453,2127.0,18,amze_unnamedsesq_1,0,0,522,9.09000015258789,,0,73.15200549748212,1.4755379290364559,33.2935615745082,1147.7019784032018,,,0.0,0.0,0.0
