"","BB1","BB3","BB4","BB5","ISOP1","ISOP2","ISOP3","MT1","MT2","MT3","SQT2","SQT3","SQT4","SQT5"
"BB1",1,0.44949049980697,0.667092569373048,0.82854105109364,0.390382387082548,0.321406377901615,0.310618567294056,0.529795042744277,0.334073913178711,0.296608645000883,0.886494113753532,0.466833572682315,0.509213861971224,0.60935765034783
"BB3",0.44949049980697,1,0.946861481023324,0.624262903766336,0.352111820406442,0.383883080114873,0.406824257658709,0.34743450793174,0.141635569885191,0.607368577663672,0.788346690483878,0.0242867304328946,0.10977971249802,0.310799590424535
"BB4",0.667092569373048,0.946861481023324,1,0.680188077435247,0.423875404857643,0.528771338426544,0.662776691318871,0.43521176245064,0.338564050725445,0.823973035521049,0.707492475190335,-0.0105015701607128,0.43707502612152,0.400469630423615
"BB5",0.82854105109364,0.624262903766336,0.680188077435247,1,0.578351059139132,0.538217568921792,0.448774562619232,0.81244836267674,0.623793313543406,0.597400646042226,0.787728378148967,0.728028393498594,0.544247971188864,0.841742077009302
"ISOP1",0.390382387082548,0.352111820406442,0.423875404857643,0.578351059139132,1,0.957194860156394,0.832068932934102,0.657084481906924,0.513157891882505,0.644483748585531,0.562246102358969,0.399846353837257,0.237985218510083,0.441602391358962
"ISOP2",0.321406377901615,0.383883080114873,0.528771338426544,0.538217568921792,0.957194860156394,1,0.92131066942556,0.645947491512683,0.552183984226871,0.721832312704741,0.522382838669177,0.291662700889369,0.23850315665492,0.459613481702142
"ISOP3",0.310618567294056,0.406824257658709,0.662776691318871,0.448774562619232,0.832068932934102,0.92131066942556,1,0.51475301698083,0.482771860963162,0.763626651570499,0.608427501403547,0.239013469019988,0.580216533764962,0.470803746485618
"MT1",0.529795042744277,0.34743450793174,0.43521176245064,0.81244836267674,0.657084481906924,0.645947491512683,0.51475301698083,1,0.729200148438559,0.502107566646655,0.533180188989851,0.787335319963754,0.288753205534224,0.682793561561242
"MT2",0.334073913178711,0.141635569885191,0.338564050725445,0.623793313543406,0.513157891882505,0.552183984226871,0.482771860963162,0.729200148438559,1,0.408154993227532,0.254774530926003,0.577448402847686,0.0974152074804568,0.713654057085222
"MT3",0.296608645000883,0.607368577663672,0.823973035521049,0.597400646042226,0.644483748585531,0.721832312704741,0.763626651570499,0.502107566646655,0.408154993227532,1,-0.311522308173834,0.421891864605518,0.066377903889234,0.15184563248618
"SQT2",0.886494113753532,0.788346690483878,0.707492475190335,0.787728378148967,0.562246102358969,0.522382838669177,0.608427501403547,0.533180188989851,0.254774530926003,-0.311522308173834,1,0.88905180616515,0.57676303956432,0.904566850572619
"SQT3",0.466833572682315,0.0242867304328946,-0.0105015701607128,0.728028393498594,0.399846353837257,0.291662700889369,0.239013469019988,0.787335319963754,0.577448402847686,0.421891864605518,0.88905180616515,1,0.31341393377815,0.647806507082418
"SQT4",0.509213861971224,0.10977971249802,0.43707502612152,0.544247971188864,0.237985218510083,0.23850315665492,0.580216533764962,0.288753205534224,0.0974152074804568,0.066377903889234,0.57676303956432,0.31341393377815,1,0.53606782176365
"SQT5",0.60935765034783,0.310799590424535,0.400469630423615,0.841742077009302,0.441602391358962,0.459613481702142,0.470803746485618,0.682793561561242,0.713654057085222,0.15184563248618,0.904566850572619,0.647806507082418,0.53606782176365,1
