,BB1,BB3,BB4,BB5,ISOP1,ISOP2,ISOP3,MT1,MT2,MT3,SQT2,SQT3,SQT4,SQT5
BB1,1,,,,,,,,,,,,,
BB3,0.4494905,1,,,,,,,,,,,,
BB4,0.667092569,0.946861481,1,,,,,,,,,,,
BB5,0.828541051,0.624262904,0.680188077,1,,,,,,,,,,
ISOP1,0.390382387,0.35211182,0.423875405,0.578351059,1,,,,,,,,,
ISOP2,0.321406378,0.38388308,0.528771338,0.538217569,0.95719486,1,,,,,,,,
ISOP3,0.310618567,0.406824258,0.662776691,0.448774563,0.832068933,0.921310669,1,,,,,,,
MT1,0.529795043,0.347434508,0.435211762,0.812448363,0.657084482,0.645947492,0.514753017,1,,,,,,
MT2,0.334073913,0.14163557,0.338564051,0.623793314,0.513157892,0.552183984,0.482771861,0.729200148,1,,,,,
MT3,0.296608645,0.607368578,0.823973036,0.597400646,0.644483749,0.721832313,0.763626652,0.502107567,0.408154993,1,,,,
SQT2,0.886494114,0.78834669,0.707492475,0.787728378,0.562246102,0.522382839,0.608427501,0.533180189,0.254774531,-0.311522308,1,,,
SQT3,0.466833573,0.02428673,-0.01050157,0.728028393,0.399846354,0.291662701,0.239013469,0.78733532,0.577448403,0.421891865,0.889051806,1,,
SQT4,0.509213862,0.109779712,0.437075026,0.544247971,0.237985219,0.238503157,0.580216534,0.288753206,0.097415207,0.066377904,0.57676304,0.313413934,1,
SQT5,0.60935765,0.31079959,0.40046963,0.841742077,0.441602391,0.459613482,0.470803746,0.682793562,0.713654057,0.151845632,0.904566851,0.647806507,0.536067822,1
